Type	Filename	Filename with path	Base filename	Line	Column	Column(0 indexed)	Message level	Message number	Message number (4 digits)	Message text	Message help file	Verbose text	Rule	Group id
++  WARNING ++	database.h	C:\Users\vaprti\vector\github\PointOfSales_v2\CurrentRelease\database\inc\database.h	2	2	1	1	603	0603	 [U] The macro identifier '__DATABASE_H' is reserved.	C:\vector\tools\PRQA\PRQA-Framework-2.2.0\components\qac-9.3.1\doc-en_US\messages\0603.html		Rule-1.3,Rule-21.1	M3CM-2,M3CM-2
++  WARNING ++	pos_driver.c	C:\Users\vaprti\vector\github\PointOfSales_v2\CurrentRelease\main\pos_driver.c	51	10	9	0	1599	1599	 Included from here.			CMN-0.5	CMN-0
++  WARNING ++	database.h	C:\Users\vaprti\vector\github\PointOfSales_v2\CurrentRelease\database\inc\database.h	2	9	8	1	602	0602	 [U] The identifier '__DATABASE_H' is reserved for use by the library.	C:\vector\tools\PRQA\PRQA-Framework-2.2.0\components\qac-9.3.1\doc-en_US\messages\0602.html		Rule-1.3,Rule-21.2	M3CM-2,M3CM-2
++  WARNING ++	pos_driver.c	C:\Users\vaprti\vector\github\PointOfSales_v2\CurrentRelease\main\pos_driver.c	51	10	9	0	1599	1599	 Included from here.			CMN-0.5	CMN-0
++  WARNING ++	database.h	C:\Users\vaprti\vector\github\PointOfSales_v2\CurrentRelease\database\inc\database.h	6	0	4294967295	1	5209	5209	 Use of basic type 'int'.	C:\Vector\tools\PRQA\doc-en_US\messages\5209.html		Dir-4.6	M3CM-3
++  WARNING ++	database.h	C:\Users\vaprti\vector\github\PointOfSales_v2\CurrentRelease\database\inc\database.h	7	0	4294967295	1	5209	5209	 Use of basic type 'int'.	C:\Vector\tools\PRQA\doc-en_US\messages\5209.html		Dir-4.6	M3CM-3
++  WARNING ++	database.h	C:\Users\vaprti\vector\github\PointOfSales_v2\CurrentRelease\database\inc\database.h	8	0	4294967295	1	5209	5209	 Use of basic type 'int'.	C:\Vector\tools\PRQA\doc-en_US\messages\5209.html		Dir-4.6	M3CM-3
++  WARNING ++	database.h	C:\Users\vaprti\vector\github\PointOfSales_v2\CurrentRelease\database\inc\database.h	11	7	6	1	914	0914	 [U] Source file does not end with a newline character.	C:\vector\tools\PRQA\PRQA-Framework-2.2.0\components\qac-9.3.1\doc-en_US\messages\0914.html		Rule-1.3	M3CM-2
++  WARNING ++	pos_driver.c	C:\Users\vaprti\vector\github\PointOfSales_v2\CurrentRelease\main\pos_driver.c	51	10	9	0	1599	1599	 Included from here.			CMN-0.5	CMN-0
++  WARNING ++	database.c	C:\Users\vaprti\vector\github\PointOfSales_v2\CurrentRelease\database\src\database.c	49	1	0	1	857	0857	 [L] Number of macro definitions exceeds 1024 - program does not conform strictly to ISO:C90.	C:\vector\tools\PRQA\PRQA-Framework-2.2.0\components\qac-9.3.1\doc-en_US\messages\0857.html		Dir-1.1	M3CM-2
++  WARNING ++	database.c	C:\Users\vaprti\vector\github\PointOfSales_v2\CurrentRelease\database\src\database.c	70	0	4294967295	1	5209	5209	 Use of basic type 'int'.	C:\Vector\tools\PRQA\doc-en_US\messages\5209.html		Dir-4.6	M3CM-3
++  WARNING ++	database.c	C:\Users\vaprti\vector\github\PointOfSales_v2\CurrentRelease\database\src\database.c	74	30	29	1	1265	1265	 An unsuffixed floating constant is being converted to a different floating type on assignment.	C:\vector\tools\PRQA\PRQA-Framework-2.2.0\components\qac-9.3.1\doc-en_US\messages\1265.html		Rule-10.3	M3CM-2
